sha256,duplicate_count,filename,extension,relative_path,canonical
0a72b5ba8a9f6bc0386388bff139a5f08f1ae1e73bb2144cf8fb5596135ac017,4,Copy of CONTEST 6.docx,.docx,SMQ BIBLES\NSMQ 2014 Questions\Copy of CONTEST 6.docx,False
0a72b5ba8a9f6bc0386388bff139a5f08f1ae1e73bb2144cf8fb5596135ac017,4,CONTEST 6.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\CONTEST 6.docx,False
0a72b5ba8a9f6bc0386388bff139a5f08f1ae1e73bb2144cf8fb5596135ac017,4,CONTEST 6.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\Chemistry Questions\Quiz 2014 Nat Prelim\CONTEST 6.docx,False
05144808d3cb046d2b0fbcf6542b005f039ba4a02a3e1dbcf9752385988937c4,4,CONTEST 7.docx,.docx,SMQ BIBLES\NSMQ 2014\CONTEST 7.docx,True
05144808d3cb046d2b0fbcf6542b005f039ba4a02a3e1dbcf9752385988937c4,4,Copy of CONTEST 7.docx,.docx,SMQ BIBLES\NSMQ 2014 Questions\Copy of CONTEST 7.docx,False
05144808d3cb046d2b0fbcf6542b005f039ba4a02a3e1dbcf9752385988937c4,4,CONTEST 7.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\CONTEST 7.docx,False
05144808d3cb046d2b0fbcf6542b005f039ba4a02a3e1dbcf9752385988937c4,4,CONTEST 7.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\Chemistry Questions\Quiz 2014 Nat Prelim\CONTEST 7.docx,False
e3652a3fda0eb8d035def54797c661b94d482c7871d329bbeaf847bb1f549cfd,4,CONTEST 8.docx,.docx,SMQ BIBLES\NSMQ 2014\CONTEST 8.docx,True
e3652a3fda0eb8d035def54797c661b94d482c7871d329bbeaf847bb1f549cfd,4,Copy of CONTEST 8.docx,.docx,SMQ BIBLES\NSMQ 2014 Questions\Copy of CONTEST 8.docx,False
e3652a3fda0eb8d035def54797c661b94d482c7871d329bbeaf847bb1f549cfd,4,CONTEST 8.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\CONTEST 8.docx,False
e3652a3fda0eb8d035def54797c661b94d482c7871d329bbeaf847bb1f549cfd,4,CONTEST 8.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\Chemistry Questions\Quiz 2014 Nat Prelim\CONTEST 8.docx,False
8429a3cc6050df7c67dad1b25a63b8bacbbcaca4318ba8e54e9de8e59c5d6c09,4,CONTEST 9.docx,.docx,SMQ BIBLES\NSMQ 2014\CONTEST 9.docx,True
8429a3cc6050df7c67dad1b25a63b8bacbbcaca4318ba8e54e9de8e59c5d6c09,4,Copy of CONTEST 9.docx,.docx,SMQ BIBLES\NSMQ 2014 Questions\Copy of CONTEST 9.docx,False
8429a3cc6050df7c67dad1b25a63b8bacbbcaca4318ba8e54e9de8e59c5d6c09,4,CONTEST 9.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\CONTEST 9.docx,False
8429a3cc6050df7c67dad1b25a63b8bacbbcaca4318ba8e54e9de8e59c5d6c09,4,CONTEST 9.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\Chemistry Questions\Quiz 2014 Nat Prelim\CONTEST 9.docx,False
9ecb709d27b350101fb4fa7805005c66bf106aff9d86aef34142dd70f9d9c92d,4,1.doc,.doc,SMQ BIBLES\weekends\complicated questions\riddles\1.doc,True
9ecb709d27b350101fb4fa7805005c66bf106aff9d86aef34142dd70f9d9c92d,4,ROUND 5.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST1 GA\ROUND 5.doc,False
9ecb709d27b350101fb4fa7805005c66bf106aff9d86aef34142dd70f9d9c92d,4,ROUND 5.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST1\ROUND 5.doc,False
9ecb709d27b350101fb4fa7805005c66bf106aff9d86aef34142dd70f9d9c92d,4,ROUND 5.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST2 GA\CONTEST1 GA\ROUND 5.doc,False
